species_code,family,genus,specific_epithet,native
CABCAR,Cabombaceae,Cabomba,caroliniana,Non Native
CERDEM,Ceratophyllaceae,Ceratophyllum,demersum,Non Native
EGEDEN,Hydrocharitaceae,Egeria,densa,Non Native
ELOCAN,NA,NA,NA,NA
EMPTY,NA,NA,NA,NA
FILALG,NA,NA,NA,NA
MYRAQU,NA,Myriophyllum,aquaticum,Non Native
MYRSPI,Haloragaceae,Myriophyllum,spicatum,Non Native
"NAJGUA",NA,Najas,guadalupensis,Native
POTCRI,NA,Potamogeton,cripsis,Non Native
POTRIC,NA,Potamogeton,richardsonii,Native
STUPEC,Potamogetonaceae,Stuckenia,pectinata,Native
UNKNOW,NA,NA,NA,NA
