species_code,family,genus,specific_epithet,species,native
CABCAR,Cabombaceae,Cabomba,caroliniana,Cabomba_caroliniana,n
CERDEM,Ceratophyllaceae,Ceratophyllum,demersum,Ceratophyllum_demersum,n
ECHBER,,Echinodorus,berteroi,Echinodorus_berteroi,y
EGEDEN,Hydrocharitaceae,Egeria,densa,Egeria_densa,n
ELOCAN,,Elodea,canadensis,Elodea_canadensis,y
EMPTY,NA,NA,NA,NA,NA
FILALG,NA,filamentous,algae,filamentous_algae,y
HETDUB,,Heteranthera,dubia,Heteranthera_dubia,y
MYRAQU,NA,Myriophyllum,aquaticum,Myriophyllum_aquaticum,n
MYRSPI,Haloragaceae,Myriophyllum,spicatum,Myriophyllum_spicatum,n
NAJGUA,NA,Najas,guadalupensis,Najas_guadalupensis,y
NITELL,,Nitella,sp,Nitella_sp,y
POTCRI,NA,Potamogeton,cripsis,Potamogeton_crispus,n
POTFOL,,Potamogeton,foliosus,Potamogeton_foliosus,y
POTNOD,,Potamogeton,nodosus,Potamogeton_nodosus,y
POTPUS,,Potamogeton,pusillus,Potamogeton_pusillus,y
POTRIC,NA,Potamogeton,richardsonii,Potamogeton_richardsonii,y
POTZOS,,Potamogeton,zosteriformis,Potamogeton_zosteriformis,y
STUFIL,,Stuckenia,filiformis,Stuckenia_filiformis,y
STUPEC,Potamogetonaceae,Stuckenia,pectinata,Stuckenia_pectinata,y
UNKNOW,NA,NA,NA,NA,NA
VALAUS,,Vallisneria,australis,Vallisneria_australis,n
