VegetationCodeID,VegetationCode,CommonName,Family,Genus,Species,Native,VegetationType,Comments
2,ACENEG,box elder,Sapindaceae,Acer,negrundo,Native,o,
4,ARUDON,giant reed,Poaceae,Adrundo,donax,Non Native,o,
3,ALNRHO,white alder,Betulaceae,Alnus,rhombifolia,Native,o,
122,ALTPHI,Alligatorweed,Amaranthaceae,Alternanhera,philoxeroides,Non Native,o,
15,FATHEN,Fat hen,,Atriplex,prostrata,,o,
5,AZOFIL,water fern,Salviniaceae,Azolla,filiculoides,Native,o,
6,CABCAR,Carolina fanwort,"	Cabombaceae",Cabomba,caroliniana,Non Native,s,
7,CARBAR,Santa Barbara sedge,Cyperaceae,Carex,barbarae,Native,o,
8,CERDEM,coontail,Ceratophyllaceae,Ceratophyllum,demersum,Non Native,s,
9,CORMOL,soft birds beak,Orobanchaceae,Cordylanthus,mollis,Native,o,
10,CORSER,red osier dogwood,Cornaceae,Cornus,sericea,Native,o,
1,CORSEL,Pampas grass,Poaceae,Cortaderia,selloana,Non Native,o,
161,DISTIC,Distichlis spp Grass,Poaceae,Distichlis,,,o,
12,EICCRA,water hyacinth,Pontederiaceae,Echhornia,crassipes,Non Native,o,
60,ECHBER,Upright burhead,"	Alismataceae",Echinodorus,berteroi,Native,s,
11,EGEDEN,Brazilian waterweed,Hydrocharitaceae,Egeria,densa,Non Native,s,
13,ELODIA,American Pondweed,,Elodia,spp.,Native,s,
14,EUCALY,Eucalyptus,Myrataceae,Eucalyptus,,Non Native,o,
17,HIBLAS,California hibiscus,Malvaceae,Hybiscus,lasiocarpos,Native,o,
19,HYDRIL,Hydrilla,,Hydrilla,verticillata,Non Native,s,
18,HYDRAN,water pennywort,Apiaceae,Hydrocotyle,ranunculoides,Native,o,
58,HYDSPP,Unkown species,Apiaceae,Hydrocotyle,spp.,Native,o,
57,HYDVER,Whorled Pennywort,Apiaceae,Hydrocotyle,verticillata,Native,o,
20,LATJEP,Delta tule pea,Fabaceae,Lathyrus,jepsonii,Native,o,
21,LEMNA,duckweed,Araceae,Lemna,spp,Native,o,
22,LILMAS,Masons lilaeopsis,Apiaceae,Lilaeopsis,masonii,Native,o,
23,LIMLAE,spongeplant,Hydrocharitaceae,Limnobium,laevigatum,Non Native,o,
24,LOTCOR,birdsfoot trefoil,Fabaceae,Lotus,corniculatus,Native,o,
25,LUDWIG,water primrose,Onagraceae,Ludwiggia,,Non Native,o,
26,MYRAQU,Parrots feather,,Myriophyllum,aquaticum,Non Native,s,
27,MYRSPI,Eurasian water millfoil,Haloragaceae,Myriophyllum,spicatum,Non Native,s,
29,NAJGUA,Southern Niad,,Najas,guadalupensis,Native,s,
31,PHRAUS,common reed,Poaceae,Phragmites,australis,Non Native,o,
32,POLAMP,water smartweed,Polygonaceae,Polygonum,amphibium,Native,o,
33,POPFRE,Fremont cottonwood,Salicaceae,Populus,fremontii,Native,o,
34,POTCRI,curly-leaved pondweed,,Potamogeton,cripsis,Non Native,s,
61,POTRIC,Richardsons pondweed,,Potamogeton,richardsonii,Native,s,
35,POTNOD,Longleaf pondweed,,Potomogeton,nodosus,Native,s,
36,QUELOB,valley oak,Fagaceae,Quercus,lobata,Native,o,
37,ROSCAL,California rose,Rosaceae,Rosa,californica,Native,o,
38,RUBDIS,Himalayan blackberry,Rosaceae,Rubus,armeniacus,Non Native,o,
39,SAGSAN,valley arrowhead,Alismataceae,Sagittaria,sanfordii,Native,o,
40,SALEXI,sandbar willow,Salicaceae,Salix,exigua,Native,o,
41,SALGOO,Goodings willow,Salicaceae,Salix,gooddingii,Native,o,
42,SALLAE,red willow,Salicaceae,Salix,laevigata,Native,o,
43,SALLAS,arroyo willow,Salicaceae,Salix,lasiolepis,Native,o,
44,SALLUC,shining willow,Salicaceae,Salix,lucida,Native,o,
45,SARPAC,perennial pickleweed,Amaranthaceae,Sarcocornia,pacifica,Native,o,
46,SCHACU,hardstem bulrush,Cyperaceae,Schoenoplectus,acutus,Native,o,
47,SCHAME,threesquare bulrush,Cyperaceae,Schoenoplectus,americanus,Native,o,
48,SCHCAL,giant bulrush,Cyperaceae,Schoenoplectus,californicus,Native,o,
55,SCHSPP,Tules,Salicaceae,Schoenoplectus,spp.,Native,o,
49,STUPEC,sago pondweed,Potamogetonaceae,Stuckenia,pectinata,Native,s,
50,SYMLEN,Suisun marsh aster,Asteraceae,Symphyotrichum,lentum,Native,o,
51,TYPANG,narrow-leafed cattail,Typhaceae,Typha,angustifolia,Non Native,o,
52,TYPDOM,,Typhaceae,Typha,domingensis,Native,o,
53,TYPLAT,broad-leaf cattail,Typhaceae,Typha,latifolia,Native,o,
56,TYPSPP,cattail- unknown species,Typhaceae,Typha,spp.,,o,
121,TYPNAR,Unkown narrow-leaf cattail,Typhaceae,Typha,,,o,
54,VITCAL,California grape,Vitaceae,Vitis,californica,Native,o,
16,FILALG,Filementous Algae,,,,,s,
28,NADA,No vegetation,,,,,s,
141,OPEWAT,Open Water,,,,,s,
101,SAVGEN,SAV General,,,,,s,
181,CYPSPP,true Sedges,Cyperaceae,,,,o,
59,UNKNO,,Unkown species,,,,s,
30,OTHER,,,,,,s,
